individualCount,year,decimalLatitude,decimalLongitude,vernacularName
40,2005,-37.42632,145.15511,Eastern Grey Kangaroo
40,2006,-36.93583,145.14917,Eastern Grey Kangaroo
40,2004,-38.03422,145.12856,Eastern Grey Kangaroo
40,2004,-37.62838,145.10933,Eastern Grey Kangaroo
40,2022,-37.56585,145.08827,Eastern Grey Kangaroo
40,2018,-37.62156,145.07778,Eastern Grey Kangaroo
40,2019,-37.62156,145.07778,Eastern Grey Kangaroo
40,2015,-38.2842,145.07083,Eastern Grey Kangaroo
40,2017,-37.64139,144.87028,Eastern Grey Kangaroo
40,2001,-37.63112,144.84863,Eastern Grey Kangaroo
40,1998,-36.78297,144.70003,Eastern Grey Kangaroo
40,1988,-37.77801,144.57076,Eastern Grey Kangaroo
40,1990,-37.78517,144.56826,Eastern Grey Kangaroo
40,1995,-37.94017,144.443,Eastern Grey Kangaroo
40,2005,-37.18186,144.10796,Eastern Grey Kangaroo
40,2006,-38.46038,144.09711,Eastern Grey Kangaroo
40,1992,-37.773,143.85745,Eastern Grey Kangaroo
40,2008,-37.22626,143.7995,Eastern Grey Kangaroo
40,2020,-38.06333,142.75972,Eastern Grey Kangaroo
40,2004,-37.12369,142.58917,Eastern Grey Kangaroo
40,1995,-38.08612,142.52997,Eastern Grey Kangaroo
40,2008,-37.2625,141.93154,Eastern Grey Kangaroo
39,1985,-37.73425,145.25416,Eastern Grey Kangaroo
39,2015,-37.92734,144.54864,Eastern Grey Kangaroo
38,1994,-38.04856,147.5854,Eastern Grey Kangaroo
38,2021,-37.64562,145.08775,Eastern Grey Kangaroo
38,2017,-37.64806,144.86806,Eastern Grey Kangaroo
38,2021,-37.59483,144.76803,Eastern Grey Kangaroo
38,2021,-37.72644,144.72539,Eastern Grey Kangaroo
37,2019,-37.389,144.2673,Eastern Grey Kangaroo
37,2020,-37.389,144.2668,Eastern Grey Kangaroo
36,1990,-37.67349,145.17631,Eastern Grey Kangaroo
36,2006,-37.18152,144.09994,Eastern Grey Kangaroo
35,1993,-36.91436,147.44414,Eastern Grey Kangaroo
35,2003,-38.48531,147.05116,Eastern Grey Kangaroo
35,1994,-37.73334,145.19404,Eastern Grey Kangaroo
35,2005,-37.53457,144.99513,Eastern Grey Kangaroo
35,2017,-37.65444,144.87528,Eastern Grey Kangaroo
35,1980,-36.91516,144.41798,Eastern Grey Kangaroo
35,1980,-36.9235,144.34298,Eastern Grey Kangaroo
35,2006,-37.18152,144.09994,Eastern Grey Kangaroo
35,1999,-37.29725,143.27533,Eastern Grey Kangaroo
34,1993,-37.68393,145.26441,Eastern Grey Kangaroo
33,2019,-38.37846,145.56279,Eastern Grey Kangaroo
33,1972,-37.54016,145.12631,Eastern Grey Kangaroo
33,2017,-37.72722,144.71861,Eastern Grey Kangaroo
33,2018,-37.72472,144.71306,Eastern Grey Kangaroo
33,2021,-37.389,144.2668,Eastern Grey Kangaroo
33,2021,-37.389,144.2668,Eastern Grey Kangaroo
32,1992,-38.00501,147.44608,Eastern Grey Kangaroo
32,2014,-38.7103,146.11972,Eastern Grey Kangaroo
32,2017,-37.7724,145.3426,Eastern Grey Kangaroo
32,1990,-37.23124,144.81384,Eastern Grey Kangaroo
32,2017,-37.72722,144.71861,Eastern Grey Kangaroo
32,2020,-37.83387,144.63045,Eastern Grey Kangaroo
32,2017,-37.724,144.5832,Eastern Grey Kangaroo
32,2004,-37.38739,143.12897,Eastern Grey Kangaroo
32,1984,-38.12352,142.45969,Eastern Grey Kangaroo
31,2015,-38.7853,145.95194,Eastern Grey Kangaroo
31,1994,-37.73334,145.19404,Eastern Grey Kangaroo
31,1973,-37.25686,141.99302,Eastern Grey Kangaroo
30,1987,-37.50679,148.17626,Eastern Grey Kangaroo
30,1977,-37.04013,147.7596,Eastern Grey Kangaroo
30,2000,-37.91384,147.48308,Eastern Grey Kangaroo
30,2007,-36.13265,146.56599,Eastern Grey Kangaroo
30,2005,-36.11021,146.48977,Eastern Grey Kangaroo
30,1974,-37.12348,146.30962,Eastern Grey Kangaroo
30,1967,-37.16898,145.82477,Eastern Grey Kangaroo
30,1996,-36.75349,145.74152,Eastern Grey Kangaroo
30,2003,-37.31085,145.70054,Eastern Grey Kangaroo
30,1999,-38.00495,145.69765,Eastern Grey Kangaroo
30,2007,-38.58899,145.53156,Eastern Grey Kangaroo
30,2001,-37.97145,145.39313,Eastern Grey Kangaroo
30,2005,-37.95296,145.31771,Eastern Grey Kangaroo
30,1990,-37.54015,145.29265,Eastern Grey Kangaroo
30,1991,-37.68568,145.20086,Eastern Grey Kangaroo
30,2007,-37.61063,145.11225,Eastern Grey Kangaroo
30,2017,-37.62156,145.07778,Eastern Grey Kangaroo
30,2012,-37.61775,145.07433,Eastern Grey Kangaroo
30,2022,-37.61775,145.07433,Eastern Grey Kangaroo
30,2006,-37.61858,145.06086,Eastern Grey Kangaroo
30,2010,-37.61903,145.06028,Eastern Grey Kangaroo
30,2006,-36.7911,144.99788,Eastern Grey Kangaroo
30,1988,-37.4298,144.93013,Eastern Grey Kangaroo
30,1988,-37.65683,144.82632,Eastern Grey Kangaroo
30,1985,-36.79016,144.79297,Eastern Grey Kangaroo
30,2000,-37.54763,144.72201,Eastern Grey Kangaroo
30,2002,-37.54763,144.72201,Eastern Grey Kangaroo
30,2017,-37.72722,144.71861,Eastern Grey Kangaroo
30,2017,-37.71306,144.69194,Eastern Grey Kangaroo
30,2017,-37.71306,144.69194,Eastern Grey Kangaroo
30,2017,-37.46855,144.58904,Eastern Grey Kangaroo
30,1988,-37.46497,144.5538,Eastern Grey Kangaroo
30,1994,-36.8699,144.54039,Eastern Grey Kangaroo
30,1994,-37.18433,144.49305,Eastern Grey Kangaroo
30,1995,-37.95683,144.42633,Eastern Grey Kangaroo
30,1989,-37.91279,144.4253,Eastern Grey Kangaroo
30,1990,-36.78845,144.39733,Eastern Grey Kangaroo
30,1981,-36.75683,144.34298,Eastern Grey Kangaroo
30,1993,-36.81974,144.30548,Eastern Grey Kangaroo
30,2018,-37.8027,144.30034,Eastern Grey Kangaroo
30,2021,-37.07444,144.22227,Eastern Grey Kangaroo
30,2019,-37.08141,144.18434,Eastern Grey Kangaroo
30,2006,-37.18152,144.09994,Eastern Grey Kangaroo
30,1991,-37.773,143.85745,Eastern Grey Kangaroo
30,1993,-37.773,143.85745,Eastern Grey Kangaroo
30,1980,-37.37351,143.37633,Eastern Grey Kangaroo
30,1997,-36.60676,143.32866,Eastern Grey Kangaroo
30,1999,-37.32963,143.32484,Eastern Grey Kangaroo
30,1974,-37.24233,143.31877,Eastern Grey Kangaroo
30,2014,-37.30066,142.69668,Eastern Grey Kangaroo
30,2010,-37.30109,142.69609,Eastern Grey Kangaroo
30,2010,-37.30471,142.69504,Eastern Grey Kangaroo
30,2010,-37.30923,142.69402,Eastern Grey Kangaroo
30,2013,-37.308,142.68782,Eastern Grey Kangaroo
30,2007,-37.39108,142.00557,Eastern Grey Kangaroo
30,1984,-37.97354,141.34304,Eastern Grey Kangaroo
29,2020,-37.83211,144.67773,Eastern Grey Kangaroo
29,2017,-37.8503,144.59306,Eastern Grey Kangaroo
29,2022,-37.389,144.2668,Eastern Grey Kangaroo
28,1993,-37.73696,145.19508,Eastern Grey Kangaroo
28,1993,-37.73334,145.19404,Eastern Grey Kangaroo
28,1972,-38.45683,144.95966,Eastern Grey Kangaroo
28,2017,-37.64806,144.86806,Eastern Grey Kangaroo
28,2021,-37.72644,144.72539,Eastern Grey Kangaroo
28,2017,-37.71306,144.69194,Eastern Grey Kangaroo
28,1976,-36.70683,144.45964,Eastern Grey Kangaroo
28,1975,-36.84017,143.25966,Eastern Grey Kangaroo
27,1974,-37.06723,148.41352,Eastern Grey Kangaroo
27,2022,-37.90006,145.43995,Eastern Grey Kangaroo
27,1985,-37.72983,145.25993,Eastern Grey Kangaroo
27,2021,-37.60093,145.02633,Eastern Grey Kangaroo
27,1969,-38.41024,144.98033,Eastern Grey Kangaroo
27,1982,-36.6235,143.87631,Eastern Grey Kangaroo
27,1989,-37.4657,143.45906,Eastern Grey Kangaroo
27,1982,-36.62351,143.20966,Eastern Grey Kangaroo
26,1998,-37.11092,148.29729,Eastern Grey Kangaroo
26,1977,-37.62346,147.69294,Eastern Grey Kangaroo
26,1998,-36.20389,146.95397,Eastern Grey Kangaroo
26,2021,-37.64562,145.08775,Eastern Grey Kangaroo
26,2017,-37.90972,144.59944,Eastern Grey Kangaroo
26,2016,-37.8503,144.59306,Eastern Grey Kangaroo
