occurrenceID,catalogNumber,individualCount,year,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,vernacularName,species
4191112,4191112,100,2002,-36.79119,144.65945,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5602218,5602218,100,2006,-36.79119,144.65945,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4348389,4348389,100,1986,-37.19016,144.49298,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5567855,5567855,100,2003,-36.64466,144.4581,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4154883,4154883,100,2001,-37.90308,144.43474,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5735595,5735595,100,2002,-37.86694,144.28306,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4168021,4168021,100,2002,-37.4235,144.27632,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3971753,3971753,100,1981,-36.84016,144.25965,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5596537,5596537,100,2006,-36.15793,144.22618,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5721590,5721590,100,2010,-36.16757,144.21731,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3993980,3993980,100,1989,-37.53981,144.11681,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4056361,4056361,100,1998,-37.05293,144.10499,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5735732,5735732,100,2003,-38.38306,143.99972,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3914069,3914069,100,1991,-37.2197,143.54345,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5719656,5719656,100,2010,-38.82885,143.52869,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3971758,3971758,100,1981,-36.75684,143.25966,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3902024,3902024,100,1990,-37.12351,142.79301,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3902029,3902029,100,1990,-37.12351,142.79301,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4147374,4147374,100,2001,-37.17049,142.78387,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4147350,4147350,100,2001,-37.16974,142.77371,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5719831,5719831,100,2010,-37.30109,142.69609,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5713902,5713902,100,2011,-37.30109,142.69609,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8204540,8204540,100,2016,-37.3088,142.69461,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4330945,4330945,100,1983,-38.12352,142.54303,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4243770,4243770,100,2004,-37.15161,142.52219,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3896990,3896990,100,1988,-37.91534,141.33645,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4284688,4284688,100,1998,-37.3902,141.32636,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12012174,12012174,95,2021,-37.68013,145.04582,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037515,9037515,94,2018,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037516,9037516,92,2018,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9073344,9073344,91,1980,-37.87332,142.03854,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037511,9037511,90,2017,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10648068,10648068,86,2019,-37.389,144.2668,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4330600,4330600,85,1971,-37.54016,145.12631,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12011633,12011633,84,2021,-37.6166,144.731,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10187127,10187127,83,2019,-37.57778,144.76944,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12012172,12012172,82,2021,-37.68013,145.04582,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037512,9037512,81,2017,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4330830,4330830,80,1980,-36.37348,145.70962,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4330603,4330603,80,1971,-37.54016,145.12631,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11182449,11182449,80,2021,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5619485,5619485,80,2006,-37.6375,144.48222,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4028419,4028419,80,1997,-37.9485,144.418,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4290643,4290643,80,2002,-38.46428,143.65764,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
